local_code,text,table_name,parent_varname,local_code_system,code,display,code_system,comment
snomedct:264263006,Cholecystogastric,EnumSpatialQualifiers,,,264263006,Cholecystogastric,http://snomed.info/id/,LinkML gen-harmony
snomedct:264264000,Choledochoduodenal,EnumSpatialQualifiers,,,264264000,Choledochoduodenal,http://snomed.info/id/,LinkML gen-harmony
snomedct:264266003,Colocolic,EnumSpatialQualifiers,,,264266003,Colocolic,http://snomed.info/id/,LinkML gen-harmony
snomedct:264267007,Colorectal,EnumSpatialQualifiers,,,264267007,Colorectal,http://snomed.info/id/,LinkML gen-harmony
snomedct:264463009,Epitrochlear,EnumSpatialQualifiers,,,264463009,Epitrochlear,http://snomed.info/id/,LinkML gen-harmony
snomedct:264940008,Under inferior bridging leaflet,EnumSpatialQualifiers,,,264940008,Under inferior bridging leaflet,http://snomed.info/id/,LinkML gen-harmony
snomedct:264941007,Under superior bridging leaflet,EnumSpatialQualifiers,,,264941007,Under superior bridging leaflet,http://snomed.info/id/,LinkML gen-harmony
snomedct:272288000,Onlay,EnumSpatialQualifiers,,,272288000,Onlay,http://snomed.info/id/,LinkML gen-harmony
snomedct:272425003,General site descriptor,EnumSpatialQualifiers,,,272425003,General site descriptor,http://snomed.info/id/,LinkML gen-harmony
snomedct:272427006,Anatomical part descriptor,EnumSpatialQualifiers,,,272427006,Anatomical part descriptor,http://snomed.info/id/,LinkML gen-harmony
snomedct:272428001,Anatomical third,EnumSpatialQualifiers,,,272428001,Anatomical third,http://snomed.info/id/,LinkML gen-harmony
snomedct:272429009,Part structure,EnumSpatialQualifiers,,,272429009,Part structure,http://snomed.info/id/,LinkML gen-harmony
snomedct:272430004,Column structure,EnumSpatialQualifiers,,,272430004,Column structure,http://snomed.info/id/,LinkML gen-harmony
snomedct:272431000,Segment structure,EnumSpatialQualifiers,,,272431000,Segment structure,http://snomed.info/id/,LinkML gen-harmony
snomedct:272432007,Wall structure,EnumSpatialQualifiers,,,272432007,Wall structure,http://snomed.info/id/,LinkML gen-harmony
snomedct:272434008,Anatomical relationship descriptor,EnumSpatialQualifiers,,,272434008,Anatomical relationship descriptor,http://snomed.info/id/,LinkML gen-harmony
snomedct:272435009,Centri-location,EnumSpatialQualifiers,,,272435009,Centri-location,http://snomed.info/id/,LinkML gen-harmony
snomedct:272436005,Circum-location,EnumSpatialQualifiers,,,272436005,Circum-location,http://snomed.info/id/,LinkML gen-harmony
snomedct:272437001,Extra-location,EnumSpatialQualifiers,,,272437001,Extra-location,http://snomed.info/id/,LinkML gen-harmony
snomedct:272438006,Extrapleural,EnumSpatialQualifiers,,,272438006,Extrapleural,http://snomed.info/id/,LinkML gen-harmony
snomedct:272439003,Infra-location,EnumSpatialQualifiers,,,272439003,Infra-location,http://snomed.info/id/,LinkML gen-harmony
snomedct:272440001,Inter-location,EnumSpatialQualifiers,,,272440001,Inter-location,http://snomed.info/id/,LinkML gen-harmony
snomedct:272441002,Intra-location,EnumSpatialQualifiers,,,272441002,Intra-location,http://snomed.info/id/,LinkML gen-harmony
snomedct:272442009,Mid-location,EnumSpatialQualifiers,,,272442009,Mid-location,http://snomed.info/id/,LinkML gen-harmony
snomedct:272443004,Pan-location,EnumSpatialQualifiers,,,272443004,Pan-location,http://snomed.info/id/,LinkML gen-harmony
snomedct:272444005,Para-location,EnumSpatialQualifiers,,,272444005,Para-location,http://snomed.info/id/,LinkML gen-harmony
snomedct:272446007,Per-location,EnumSpatialQualifiers,,,272446007,Per-location,http://snomed.info/id/,LinkML gen-harmony
snomedct:272447003,Peri-location,EnumSpatialQualifiers,,,272447003,Peri-location,http://snomed.info/id/,LinkML gen-harmony
snomedct:272448008,Post-location,EnumSpatialQualifiers,,,272448008,Post-location,http://snomed.info/id/,LinkML gen-harmony
snomedct:272449000,Pre-location,EnumSpatialQualifiers,,,272449000,Pre-location,http://snomed.info/id/,LinkML gen-harmony
snomedct:272450000,Retro-location,EnumSpatialQualifiers,,,272450000,Retro-location,http://snomed.info/id/,LinkML gen-harmony
snomedct:272451001,Sub-location,EnumSpatialQualifiers,,,272451001,Sub-location,http://snomed.info/id/,LinkML gen-harmony
snomedct:272452008,Supra-location,EnumSpatialQualifiers,,,272452008,Supra-location,http://snomed.info/id/,LinkML gen-harmony
